"Application_1","Application_2","injection_rate_1","injection_rate_2","packets_1","packets_2","duration","performance_metric"
117133000,117275000,0.833408586680889,0.109785750508308,51348,51348,69,12.4729401420491
86867000,86262000,0.588004908524454,0.578408766537905,199352,199352,168,3.02847578517347
86209000,86175000,0.205713794566691,0.334704522043467,115028,115028,97,5.59698445949194
88336000,87292000,0.0355792138725519,0.687063779681921,238996,238996,262,3.22095288634087
86624000,86220000,0.668784003704786,0.431133490055799,148280,148280,116,3.82330800865277
40179000,36840000,0.909794989041984,0.899760253727436,17988,17988,442,11.2568414590018
85752000,85785000,0.29209176171571,0.155931167304516,53428,53428,59,10.2585783692189
88257000,86843000,0.298344276845455,0.649709546007216,224364,224364,209,3.00586301639801
86262000,86221000,0.930887220427394,0.40599010232836,139416,139416,109,3.84096740544523
47080000,45136000,0.67803390417248,0.937111151404679,18720,18720,501,12.9343103769336
85960000,85941000,0.061484626494348,0.181078848429024,62044,62044,64,11.0492085325867
5556000,7514000,0.195547353476286,0.828482960350811,16588,16588,310,2.94633103527283
151671000,151714000,0.563014129176736,0.084638555534184,51276,51276,82,16.3358016285024
87877000,88170000,0.828072492964566,0.615763471461833,213284,213284,184,2.75612742565909
86066000,86064000,0.444615992717445,0.359848381020129,123344,123344,103,4.73188301287465
53521000,53092000,0.432811631821096,0.99594768602401,19912,19912,588,14.0854292400553
85856000,85869000,0.800329902209342,0.247250062413514,84692,84692,76,6.02368440577891
89681000,88114000,0.559560125693679,0.71587682608515,249544,249544,329,2.56524393435937
86593000,85968000,0.176048308610916,0.464815073646605,159624,159624,130,4.26301174733498
86505000,86189000,0.0649957908317447,0.549595207907259,189040,189040,164,3.9109271693413
85969000,85948000,0.697468158788979,0.301024393178523,103240,103240,88,5.16455214927927
6649000,15374000,0.942634301260114,0.769647409208119,15384,15384,238,4.16289670462181
693234000,693500000,0.32615177705884,0.0184663580730557,51204,51204,279,70.6080940907291
5183000,17674000,0.372122129425406,0.791879914700985,15840,15840,269,4.46658608112217
